SECONDS,Elapsed_sec,Datetime,Corrected_Datetime,CH4,CH4_ppm,peak_prominence_ppm,peak_height_ppm,peak_over_100ppm,peak_rank_by_ch4,nearest_image_id,nearest_image_file,nearest_image_datetime,nearest_image_timestamp_source,nearest_image_path,nearest_image_delta_seconds,nearest_image_abs_delta_seconds,nearest_image_relation
1775751529,942,2026-04-09 11:18:49,2026-04-09 11:20:05,3295.624,3.2956239999999997,1.1681525999999995,3.2956239999999997,False,27,35,35_2026-04-09_11-19-57.HEIC,2026-04-09 11:19:57,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/35_2026-04-09_11-19-57.HEIC,-8.0,8.0,before
1775750945,358,2026-04-09 11:09:05,2026-04-09 11:10:21,3111.6965,3.1116965,0.9898468999999999,3.1116965,False,28,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,8.0,8.0,after
1775751560,973,2026-04-09 11:19:20,2026-04-09 11:20:36,2995.9033,2.9959033,0.8973725000000004,2.9959033,False,29,36,36_2026-04-09_11-20-41.HEIC,2026-04-09 11:20:41,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/36_2026-04-09_11-20-41.HEIC,5.0,5.0,after
1775751631,1044,2026-04-09 11:20:31,2026-04-09 11:21:47,2995.0544,2.9950544,0.8905156000000001,2.9950544,False,30,41,41_2026-04-09_11-21-40.HEIC,2026-04-09 11:21:40,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/41_2026-04-09_11-21-40.HEIC,-7.0,7.0,before
1775751441,854,2026-04-09 11:17:21,2026-04-09 11:18:37,2923.2061,2.9232061,0.8248221,2.9232061,False,31,31,31_2026-04-09_11-18-39.HEIC,2026-04-09 11:18:39,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/31_2026-04-09_11-18-39.HEIC,2.0,2.0,after
1775751136,549,2026-04-09 11:12:16,2026-04-09 11:13:32,2885.7019,2.8857019,0.7729207000000002,2.8857019,False,32,28,28_2026-04-09_11-13-33.HEIC,2026-04-09 11:13:33,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/28_2026-04-09_11-13-33.HEIC,1.0,1.0,after
1775750908,321,2026-04-09 11:08:28,2026-04-09 11:09:44,2885.0698,2.8850698,0.7106306000000004,2.8850698,False,33,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,45.0,45.0,after
1775751132,545,2026-04-09 11:12:12,2026-04-09 11:13:28,2882.27,2.88227,0.6288825000000005,2.88227,False,34,27,27_2026-04-09_11-13-29.HEIC,2026-04-09 11:13:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/27_2026-04-09_11-13-29.HEIC,1.0,1.0,after
1775751175,588,2026-04-09 11:12:55,2026-04-09 11:14:11,2851.1152,2.8511152,0.6783906000000002,2.8511152,False,35,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-37.0,37.0,before
1775751173,586,2026-04-09 11:12:53,2026-04-09 11:14:09,2836.1985,2.8361985,0.20101879999999994,2.8361985,False,36,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-35.0,35.0,before
